StudentID,Year,Faculty,Level,Age,Gender,OverallSatisfaction,TeachingQuality,CoursesStrengths,CoursesWeaknesses,ResearchOpportunities,LabsAndFacilitiesFeedback,AdvisingSupport,DigitalLearningToolsFeedback,CampusLifeFeedback,CareerSupport,AdministrationEfficiencyFeedback,LibraryAndResourcesFeedback,HealthAndWellnessServices,SafetyAndSecurity,RecommendUniversity,OpenComment,,,
STU011,2018.0,Sciences,Junior,21.0,Male,3.0,4.0,Biology field trips were educational,Chemistry professors are unapproachable,5.0,Microscopes are new and high quality,3.0,Moodle is cluttered and hard to find files,Science club is very clique-y,3.0,Research assistant positions are competitive,Bursar office lost my payment twice,Journal subscriptions are adequate,2.0,4.0,Maybe,Academics are fine but the administrative side is a mess.,,
STU012,2024.0,Engineering,Sophomore,20.0,Female,4.0,4.0,Project-based learning approach,Calculus department is disorganized,4.0,Makerspace availability is a huge plus,4.0,Software licenses provided are great,Engineers week was a blast,4.0,Internship fair was well organized,Add/Drop period is stressful due to crashes,Need more quiet study zones,4.0,5.0,Yes,Hard work but the resources available to us are worth it.,,
STU013,2020.0,Business,Senior,22.0,Male,3.0,2.0,Marketing electives were fun,Finance core is taught poorly,2.0,Bloomberg terminals are often occupied,2.0,Advising sent me to the wrong class twice,Greek life dominates the social scene too much,5.0,Recruiting on campus is the only redeeming factor,Graduation application was paper-based and slow,Study rooms are always booked,3.0,3.0,No,"I got a job, but I wouldn't do my degree here again.",,
STU014,2022.0,CS,Freshman,18.0,Female,5.0,5.0,Intro to Python was very engaging,Math prerequisites are heavy,3.0,Fast internet everywhere on campus,5.0,Coding environment setup was easy,Hackathons are frequent and fun,3.0,Too early to tell for careers,Housing allocation was smooth,Library has good O'Reilly book access,5.0,5.0,Yes,A perfect environment for a new developer.,,
STU015,2025.0,Law,Senior,23.0,Male,4.0,5.0,Constitutional law professor is a genius,Exam schedules are too condensed,4.0,Courtroom simulator is realistic,4.0,Online legal research tools are top notch,Law society events are professional,5.0,Clerkship support is excellent,Financial aid office is slow to disburse,Printing costs in the library are high,2.0,4.0,Yes,High pressure environment but excellent career preparation.,,
STU016,2019.0,Arts,Junior,20.0,Female,2.0,3.0,Art history context is deep,Studio feedback is vague and unhelpful,1.0,Studios have poor ventilation,2.0,Online galleries are glitchy,Not much social integration with other faculties,2.0,Few connections for fine arts majors,Admin lost my portfolio once,Art book collection is outdated,3.0,3.0,No,I feel like the university neglects the arts department.,,
STU017,2023.0,Engineering,Senior,22.0,Male,4.0,4.0,Senior design project support,Some professors barely speak English,4.0,3D printers are always available,3.0,VPN access for software works well,Good mix of parties and study groups,5.0,Engineering career fair is massive,Transcript requests are expensive,Technical journals are easy to access,4.0,5.0,Yes,"Ready to graduate, feeling prepared for the industry.",,
STU018,2021.0,Medicine,Sophomore,20.0,Female,5.0,5.0,Anatomy labs are incredibly detailed,Workload is overwhelming at times,5.0,Dissection halls are well maintained,4.0,Digital anatomy tables are cool,Med students stick together mostly,4.0,Hospital volunteering is easy to get,"Registration is automatic for us, which is nice",Medical library is open 24/7,2.0,4.0,Yes,It is exhausted but I know I am getting the best training.,,
STU019,2024.0,Sciences,Freshman,19.0,Male,4.0,3.0,Physics demos are cool,Labs are 3 hours long and tiring,3.0,Lab safety gear is new,4.0,Online homework platforms are buggy,Science mixers are awkward but fun,3.0,Unsure about career path yet,ID card photo quality is bad,Library is a good place to nap,4.0,4.0,Maybe,"It is okay, just a lot harder than high school.",,
STU020,2022.0,Business,Junior,21.0,Female,1.0,2.0,Some guest speakers are good,Textbooks are just written by the professors,1.0,Chairs in lecture halls are broken,1.0,Advisor told me to Google my questions,"Campus feels like a commuter school, no spirit",3.0,Career center only helps finance majors,Waitlists for classes are fake,Database access is restricted off-campus,2.0,3.0,No,Save your money and go to a different business school.,,
STU021,2020.0,CS,Senior,23.0,Male,5.0,4.0,Cloud computing track is modern,Security track needs more practical labs,4.0,Server room access for seniors is great,5.0,Github Enterprise access is useful,Gaming club is huge,5.0,Multiple job offers before graduation,Admin is slow but usually correct,IEEE access is crucial for my thesis,3.0,5.0,Yes,The CS degree here carries a lot of weight in the job market.,,
STU022,2019.0,Media,Sophomore,19.0,Female,4.0,5.0,Journalism ethics class was eye-opening,Not enough field equipment for everyone,2.0,Radio station studio is professional,4.0,Adobe Creative Cloud is free for us,Film festivals on campus are great,3.0,Internships are mostly unpaid,Student services are friendly,Archives are hard to search physically,4.0,4.0,Yes,"Great vibe, just wish we had more cameras to borrow.",,
STU023,2023.0,Pharmacy,Freshman,18.0,Male,3.0,3.0,Chemistry basics are solid,Calculus for pharmacy is too hard,3.0,Labs smell bad but are functional,3.0,Online quizzes have strict timers,Pharmacy student association is active,3.0,Too early to think about jobs,Orientation was too long,Library is too cold to study in,4.0,4.0,Maybe,"It is a standard program, nothing special but nothing terrible.",,
STU024,2025.0,Engineering,Junior,21.0,Female,2.0,2.0,Thermodynamics was interesting,Professors are more focused on research than teaching,5.0,Civil engineering materials lab is dirty,2.0,Lecture recordings often have no sound,Social life is non-existent for engineers,4.0,Co-op office is helpful though,Billing office overcharged me,Standards catalog is incomplete,3.0,4.0,No,"The research is good, but the undergraduate teaching is neglected.",,
STU025,2021.0,Law,Sophomore,20.0,Male,5.0,5.0,Contracts law is fascinating,Reading load is heavy,3.0,Moot court room looks real,5.0,LexisNexis training was helpful,Law parties are legendary,4.0,Summer associate positions are available,Admin is strict on deadlines,Library staff are very knowledgeable,3.0,5.0,Yes,Love the challenge and the prestige of the program.,,
STU026,2024.0,Business,Freshman,18.0,Female,4.0,4.0,Intro to Management is easy to follow,Accounting is very dry,2.0,Classrooms are modern,4.0,Online portal is mobile friendly,lots of coffee shops to socialize,3.0,Career talks are frequent,Registration was a bit confusing,Library has good group study pods,5.0,4.0,Yes,"Good start, looking forward to picking my major.",,
STU027,2018.0,CS,Junior,21.0,Male,3.0,3.0,Data structures explained well,Operating Systems project was impossible,4.0,Computer labs are open late,3.0,WiFi drops in the dorms,Hackathons are the only social event,4.0,Tech support for students is slow,Admin lost my transfer credits,O'Reilly books are great,3.0,3.0,Maybe,"Decent program, but infrastructure needs an update.",,
STU028,2022.0,Sciences,Senior,22.0,Female,5.0,5.0,Genetics lab is world-class,Thesis writing support is lacking,5.0,PCR machines are brand new,4.0,Data analysis software is provided,Grad student mixers are fun,3.0,PhD guidance is strong,Thesis submission process is bureaucratic,Journal access is perfect,4.0,4.0,Yes,Perfect place if you want to pursue a career in research.,,
STU029,2020.0,Engineering,Freshman,19.0,Male,4.0,4.0,Engineering design 101 is fun,Physics is a weed-out class,3.0,Workshop safety is taken seriously,4.0,CAD software runs well on lab PCs,Dorms are social,3.0,Job fair seemed overwhelming,Meal plan administration is annoying,Library is too loud on the first floor,4.0,4.0,Yes,Challenging but I feel like I am learning a lot.,,
STU030,2023.0,Arts,Senior,22.0,Female,2.0,2.0,Senior exhibition space was nice,Critiques were often personal not professional,1.0,Painting studios have bad lighting,1.0,Advisor didn't know graduation requirements,Arts students are isolated,1.0,No help finding gallery representation,Degree audit was wrong twice,Art library closes too early,2.0,3.0,No,I learned more from YouTube than from my professors.,,
STU031,2021.0,Media,Junior,20.0,Male,4.0,4.0,Documentary filmmaking is great,Theory classes are repetitive,3.0,Sound booth is excellent,4.0,Online collaboration tools are good,Film club is active,3.0,Networking events with alumni are good,Equipment checkout process is slow,Video library is vast,3.0,4.0,Yes,"Good practical skills, but the theory needs a revamp.",,
STU032,2025.0,Business,Sophomore,19.0,Female,5.0,5.0,Economics professor is engaging,Statistics is hard,4.0,Trading room simulator is cool,5.0,Learning management system is organized,Sororities are fun,4.0,Internship workshops are helpful,Admin answered my emails quickly,Library is a great social hub,5.0,5.0,Yes,I am really enjoying the business school experience.,,
STU033,2019.0,CS,Freshman,18.0,Male,4.0,3.0,Java programming is fun,Discrete math is confusing,3.0,Labs are decent,4.0,Code submission portal is strict,Gaming lounge is cool,3.0,Unsure about career yet,Registration crashed on day one,Library has good wifi,4.0,4.0,Yes,"Good introduction to CS, hoping it gets more practical.",,
STU034,2024.0,Medicine,Junior,23.0,Female,3.0,4.0,Pathology is fascinating,Pharmacology memorization is brutal,4.0,Clinical skills lab is helpful,3.0,Digital patient records practice is good,Med students party hard after exams,3.0,Residency matching support is okay,Admin is rigid about schedules,Library is my second home,2.0,3.0,Maybe,"It is a grind, but necessary for the MD.",,
STU035,2022.0,Engineering,Senior,22.0,Male,1.0,2.0,Capstone advisor was helpful,Everything else was a mess,2.0,Labs are overcrowded,1.0,Advisor was never available,No time for fun,3.0,Career services ignored my emails,Graduation fee is a scam,Library is always full,1.0,3.0,No,"Overcrowded, overpriced, and under-supported.",,
STU036,2020.0,Law,Freshman,22.0,Female,5.0,5.0,Intro to Tort Law is dramatic and fun,Legal writing is tedious,4.0,Lecture halls are grand,5.0,Westlaw access provided immediately,Law socials are frequent,4.0,Mentorship program is great,Admissions team was helpful,Library is beautiful and silent,4.0,5.0,Yes,"Intimidating at first, but the faculty is very supportive.",,
STU037,2023.0,Pharmacy,Sophomore,20.0,Male,3.0,3.0,Compounding lab is fun,Organic chemistry is a nightmare,3.0,Fume hoods are noisy,3.0,Online quizzes have strict timers,Pharmacy mixer was okay,3.0,Community pharmacy internships are available,Schedule changes are hard to make,Textbooks are heavy and expensive,3.0,4.0,Maybe,"Middle of the road experience, nothing to complain or brag about.",,
STU038,2021.0,Sciences,Junior,21.0,Female,4.0,4.0,Ecology field trips are the best,Lab reports take forever to grade,4.0,Greenhouse facilities are amazing,4.0,GIS software is available,5.0,Environmental club is active,3.0,Research grants are hard to get,Financial aid office is chaotic,Map collection in library is cool,4.0,4.0,Yes,"Great for environmental science, not sure about other majors.",
STU039,2025.0,CS,Senior,22.0,Male,5.0,5.0,AI and ML tracks are cutting edge,Ethics in AI class was dry,5.0,GPU cluster access is a game changer,5.0,Cloud IDEs work well,Hackathons are the highlight,5.0,Job lined up at FAANG,Degree audit was smooth,IEEE journals are accessible,4.0,5.0,Yes,Best decision I made was to study CS here.,,
STU040,2018.0,Business,Freshman,18.0,Female,2.0,3.0,Marketing 101 is easy,Macroeconomics is confusing,2.0,Chairs are uncomfortable,3.0,Portal is confusing,Hard to make friends in big lectures,3.0,Career fair is for seniors only,ID card took 3 weeks to get,Library bathrooms are dirty,2.0,3.0,No,"I feel like just a number here, no personal attention.",,
STU041,2022.0,Engineering,Junior,21.0,Male,4.0,3.0,Fluid dynamics lab is cool,Thermodynamics is impossible to pass,4.0,Wind tunnel facility is impressive,3.0,Simulation software is slow,Engineering society events are fun,4.0,Co-op placement was good,Admin lost my paperwork once,Library hours need to be longer,3.0,4.0,Yes,Solid engineering program with good industry ties.,,
STU042,2024.0,Arts,Sophomore,19.0,Female,5.0,5.0,Sculpture professor is inspiring,Art history papers are long,4.0,Kiln room is well equipped,4.0,Online portfolio hosting is free,Art market events are great,3.0,Gallery internships are available,Class registration is easy,Art journals are plentiful,5.0,5.0,Yes,I feel very creative and supported here.,,
STU043,2020.0,Media,Senior,22.0,Male,3.0,2.0,Final film project was rewarding,Equipment booking system is broken,2.0,Cameras are often damaged,2.0,Editing software crashes,Film screenings are the only social life,2.0,No help finding jobs in film,Graduation requirements changed last minute,DVD collection is good,3.0,3.0,Maybe,"I learned a lot on my own, but the school didn't help much.",,
STU044,2023.0,CS,Freshman,18.0,Female,4.0,4.0,Python labs are interactive,Logic gates theory is dry,4.0,Computer labs are modern,5.0,Coding platforms are user friendly,Coding club is welcoming,3.0,Too early for career stuff,Dorm wifi setup was easy,Library has chargers everywhere,4.0,5.0,Yes,Great environment for women in tech.,,
STU045,2021.0,Engineering,Sophomore,20.0,Male,2.0,2.0,Statics was okay,Dynamics professor was terrible,2.0,Lab equipment is old,2.0,Matlab license expired mid-semester,Engineers drink too much,3.0,Internships are competitive,Bursar is rude,Library is too hot,2.0,3.0,No,Teaching quality varies too much between professors.,,
STU046,2019.0,Law,Senior,24.0,Female,5.0,5.0,Human rights clinic was life changing,Exam period is extremely stressful,5.0,Clinic offices are professional,5.0,Legal research databases are comprehensive,Law revue show was funny,5.0,Clerkship secured,Registrar was helpful with transcripts,Library is a sanctuary,3.0,4.0,Yes,The clinical experience sets this law school apart.,,
STU047,2025.0,Pharmacy,Junior,21.0,Male,3.0,4.0,Pharmacokinetics is interesting,Medicinal chemistry is rote memorization,3.0,Labs are functional,3.0,Online quizzes are annoying,Pharmacy games night was fun,4.0,Hospital rotations are good,Admin is slow with rotation schedules,Drug information center in library is good,3.0,4.0,Yes,Challenging program but the rotation opportunities are good.,,
STU048,2022.0,Business,Senior,22.0,Female,4.0,3.0,Strategic management capstone,Business law was boring,4.0,Breakout rooms are useful,4.0,Canvas is easy to use,Networking events are frequent,5.0,Career center helped with resume,Graduation application was easy,Library needs more group tables,4.0,4.0,Yes,Prepared me well for the corporate world.,,
STU049,2020.0,Sciences,Freshman,19.0,Male,5.0,5.0,Chemistry experiments are explosive,Calculus is hard,4.0,Labs are safe and clean,5.0,Online lab simulations are cool,Science fair was inspiring,3.0,Unsure about career,Registration was fast,Library is quiet,5.0,5.0,Yes,Exciting to be doing real science finally.,,
STU050,2024.0,CS,Junior,20.0,Female,2.0,3.0,Database class is useful,Algorithms professor reads off slides,2.0,Labs are often locked,3.0,VPN is slow,Gaming club is toxic,4.0,Internship support is good,Admin ignores emails,Library needs better chairs,2.0,3.0,Maybe,Good curriculum content but poor delivery and facilities.,,
STU051,2018.0,Engineering,Senior,23.0,Male,5.0,5.0,Robotics lab is amazing,Control systems math is hard,5.0,Robotic arms are state of the art,5.0,Simulation tools are powerful,Robotics club is my life,5.0,Job offer from major car manufacturer,Admin cleared me for graduation quickly,Library access to IEEE is vital,4.0,5.0,Yes,The robotics specialization is the best in the country.,,
STU052,2023.0,Media,Freshman,18.0,Female,4.0,4.0,Intro to mass comm is interesting,History of media is dry,3.0,Podcast studio is cool,4.0,Canvas app is good,Student radio is fun,3.0,Too early for career,ID card photo is ugly,Library has good magazines,4.0,4.0,Yes,Fun major with good facilities.,,
STU053,2021.0,Medicine,Senior,25.0,Male,3.0,4.0,Surgery rotation was intense,Internal medicine rounds are long,4.0,OR simulation is great,3.0,Electronic health records training is basic,No social life during rotations,4.0,Match day support is good,Admin is bureaucratic about electives,Library is open late which is needed,2.0,3.0,Yes,"It is a medical degree, it is supposed to be hard.",,
STU054,2025.0,Arts,Junior,21.0,Female,1.0,2.0,Ceramics class is relaxing,Art theory is pretentious,2.0,Kilns are often broken,1.0,Wifi doesn't work in the studios,Art students are cliquey,1.0,No career guidance for artists,Financial aid messed up my grant,Art books are dusty,2.0,3.0,No,"I regret coming here, not enough resources for fine arts.",,
STU055,2022.0,CS,Sophomore,19.0,Male,5.0,5.0,Web development class is practical,Discrete structures is abstract,4.0,Mac labs are great,5.0,Github classroom is easy to use,Hackathons are a blast,4.0,Looking for internships now,Tuition payment was easy,Library has good tech books,5.0,5.0,Yes,Learning practical skills that I can use immediately.,,
STU056,2019.0,Business,Junior,21.0,Female,3.0,3.0,HR management is useful,Operations management is boring,3.0,Classrooms are average,3.0,Blackboard is okay,Business society is active,3.0,Internships are mostly unpaid,Admin is slow,Library is okay,3.0,4.0,Maybe,"Average business school, nothing stands out.",,
STU057,2024.0,Engineering,Freshman,18.0,Male,4.0,4.0,Intro to CAD is fun,Physics labs are long,4.0,Drafting tables are good,4.0,Solidworks license is free,Engineering orientation was fun,3.0,Career fair was interesting,Registration was smooth,Library is a good place to study,4.0,4.0,Yes,Good start to the engineering program.,,
STU058,2020.0,Law,Senior,24.0,Female,5.0,5.0,International law clinic,Tax law is dry,5.0,Moot court success,5.0,Legal databases are essential,Bar review courses offered on campus,5.0,Job secured at big firm,Graduation process was clear,Library is my second home,3.0,5.0,Yes,Top tier law school experience.,,
STU059,2023.0,Sciences,Sophomore,20.0,Male,2.0,2.0,Geology field trips,Chemistry labs are dangerous,2.0,Fume hoods malfunction,2.0,Online homework is expensive,Science club is boring,2.0,No research for sophomores,Admin lost my file,Library is dark,2.0,3.0,No,Safety standards in the labs are questionable.,,
STU060,2021.0,Pharmacy,Freshman,19.0,Female,4.0,3.0,Biology review is helpful,Chemistry is weeding people out,3.0,Labs are standard,4.0,Online portal is good,Pharmacy freshers party was fun,3.0,Too early for career,Registration was easy,Library has anatomical models,4.0,4.0,Yes,Hard work but I am motivated.,,
STU061,2025.0,CS,Junior,21.0,Male,4.0,5.0,Mobile app dev is great,Compiler design is hard,4.0,Android studio runs fast on lab PCs,4.0,LMS is reliable,App dev club is active,5.0,Internship at startup secured,Admin is helpful,Library has current tech mags,4.0,5.0,Yes,Great program for mobile development.,,
STU062,2018.0,Engineering,Senior,22.0,Female,3.0,3.0,Traffic engineering was cool,Structural analysis was dry,3.0,Concrete lab is messy,3.0,Analysis software is complex,Civil engineering society is okay,4.0,Job market is good,Graduation audit was slow,Library is crowded,3.0,3.0,Maybe,"Ready to work, tired of school.",,
STU063,2022.0,Media,Sophomore,19.0,Male,5.0,5.0,Video editing class is practical,Media law is scary,5.0,4K cameras available for rent,5.0,Adobe suite is standard,Film shoots are fun,3.0,Internship search starting,Equipment rental is easy,Film archives are great,5.0,5.0,Yes,The equipment we get to use is industry standard.,,
STU064,2024.0,Business,Freshman,18.0,Female,2.0,2.0,Intro to business is vague,Economics is hard,2.0,Lecture halls are huge and impersonal,2.0,Portal crashes,2.0,Feel lost in the crowd,2.0,No career help for freshmen,Registration was a nightmare,Library is noisy,2.0,3.0,No,"Too many students, not enough support.",
STU065,2020.0,Arts,Senior,22.0,Male,5.0,5.0,Graphic design portfolio class,Art history tests,5.0,Mac labs with tablets,5.0,Creative Cloud provided,Design showcase was a success,5.0,Freelancing already,Graduation was smooth,Design books are inspiring,4.0,5.0,Yes,Great program for graphic design.,,
STU066,2023.0,Medicine,Freshman,19.0,Female,4.0,4.0,Intro to clinical practice,Biochemistry is heavy,4.0,Anatomy lab is intimidating but good,4.0,Digital slides are useful,Med student orientation was bonding,3.0,Volunteering encouraged,Registration handled for us,Library is crucial,3.0,4.0,Yes,Intense start but very supported.,,
STU067,2021.0,Sciences,Junior,21.0,Male,3.0,3.0,Physics labs are hands on,Quantum mechanics is confusing,3.0,Equipment is aging,3.0,Python for physics is useful,Physics society is small,3.0,REU opportunities are scarce,Admin is average,Library is quiet,3.0,4.0,Maybe,Physics department is small but okay.,,
STU068,2025.0,CS,Senior,22.0,Female,5.0,5.0,Software engineering capstone,Nothing really,5.0,Team rooms are great,5.0,Jira and Git access,5.0,Women in computing club,5.0,Job at Google,4.0,Graduation is coming up,Library is good,4.0,5.0,Yes,Exceeded my expectations.
STU069,2019.0,Law,Sophomore,23.0,Male,2.0,2.0,Criminal law is interesting,Civil procedure is boring,2.0,Classrooms are cold,2.0,LexisNexis password issues,Law students are competitive,3.0,Summer jobs are hard to find,Financial aid is slow,Library is stressful,1.0,3.0,No,The competitive atmosphere is toxic.,,
STU070,2022.0,Engineering,Freshman,18.0,Male,4.0,4.0,Intro to engineering is fun,Calculus is a struggle,4.0,Makerspace is cool,4.0,Canvas is easy,Engineering dorms are loud but fun,3.0,Career fair was eye opening,Registration was fine,Library is good,4.0,4.0,Yes,Excited to be an engineer.,,
STU071,2024.0,Pharmacy,Senior,23.0,Female,4.0,4.0,Clinical rotations,Therapeutics lectures,4.0,Hospital pharmacy is modern,4.0,Digital drug info is good,Pharmacy gala was nice,5.0,Residency interviews lining up,Graduation paperwork is done,Library is my home,3.0,4.0,Yes,Ready to be a pharmacist.,,
STU072,2020.0,Business,Junior,21.0,Male,3.0,2.0,Finance calculator workshops,Management theory,2.0,Bloomberg terminal broken,2.0,Wifi is spotty,Finance club is arrogant,4.0,Internship at bank,Admin is rude,Library is full,3.0,3.0,Maybe,It is a means to an end.,,
STU073,2018.0,Media,Senior,22.0,Female,5.0,5.0,Capstone documentary,Media ethics,5.0,Editing suites are private,5.0,Rendering farm is fast,Film festival winner,4.0,Job at production company,Graduation was happy,Film collection is vast,4.0,5.0,Yes,I made a film I am proud of.,,
STU074,2023.0,CS,Sophomore,19.0,Male,1.0,1.0,Nothing,Everything is theory,1.0,Labs are closed at night,1.0,Portal is down often,No friends,1.0,No career help,Admin lost my tuition,Library is ugly,1.0,2.0,No,"I hate it here, transferring out.",,
STU075,2021.0,Arts,Freshman,18.0,Female,4.0,4.0,Drawing 101,Art history dates,4.0,Studio space is mine,4.0,Online galleries,4.0,Art collective,3.0,Not yet,Registration easy,Library has art books,4.0,4.0,Yes,Loving the creative vibe.,
STU076,2025.0,Sciences,Senior,22.0,Male,4.0,5.0,Senior thesis research,Writing grants,4.0,Lab space is mine,4.0,Data analysis tools,3.0,Science colloquium,4.0,Grad school applications,Thesis defense scheduled,Journal access,4.0,4.0,Yes,Ready for PhD.,
STU077,2022.0,Engineering,Junior,21.0,Female,5.0,5.0,Biomedical labs,Signals and systems,5.0,Clean rooms are spotless,5.0,Simulation software,4.0,BME society,5.0,Internship at medical device co,Admin is efficient,Library is great,4.0,5.0,Yes,Biomed engineering is the future.,
STU078,2019.0,Law,Freshman,22.0,Male,3.0,3.0,Torts is fun,Contracts is dry,3.0,Lecture hall seats are hard,3.0,Westlaw is complex,Bar nights,3.0,Networking is early,Admissions was slow,Library is scary,2.0,3.0,Maybe,Law school is harder than I thought.,,
STU079,2024.0,Business,Sophomore,20.0,Female,4.0,4.0,Marketing projects,Accounting principles,4.0,Group study rooms,4.0,LMS is good,Marketing club,4.0,Internship search,Admin is okay,Library is social,4.0,4.0,Yes,Marketing is my passion.,,
STU080,2020.0,CS,Senior,23.0,Male,2.0,2.0,Game design class,Compiler construction,2.0,VR lab is always locked,2.0,Unity license expired,Gaming club drama,3.0,Indie dev struggle,Graduation delay,Library is okay,2.0,3.0,No,Game design track is neglected.,,
STU081,2023.0,Medicine,Sophomore,24.0,Female,5.0,5.0,Patient interactions,Pathology memorization,5.0,Sim labs are realistic,5.0,iPad provided for study,Med student bonding,4.0,Research electives,Admin is supportive,Library is 24/7,3.0,4.0,Yes,Feeling like a doctor already.,,
STU082,2021.0,Pharmacy,Junior,21.0,Male,3.0,2.0,Pharmacology,Biostats,2.0,Lab glassware dirty,2.0,Wifi weak in pharmacy building,Not much social life,3.0,Internship is unpaid,Admin is slow,Library is cold,2.0,3.0,Maybe,Just getting through the coursework.,,
STU083,2025.0,Media,Freshman,18.0,Female,5.0,5.0,Photography basics,History of film,5.0,Darkroom is magical,4.0,Digital archives,Photo club,3.0,Portfolio building,ID card easy,Photo books in library,4.0,5.0,Yes,I love the darkroom facilities.,,
STU084,2018.0,Engineering,Senior,22.0,Male,4.0,4.0,Civil engineering capstone,Environmental impact assessment,4.0,Water testing lab,4.0,GIS tools,Civil society,5.0,Job at city council,Graduation ready,Library is fine,3.0,4.0,Yes,Practical skills for civil engineering.,,
STU085,2022.0,Sciences,Freshman,19.0,Female,2.0,2.0,Biology 101,Chemistry 101,2.0,Labs are crowded,2.0,Online homework crashes,2.0,Lonely,2.0,No idea about career,Registration error,Library is loud,2.0,3.0,No,Large lecture classes are awful.,
STU086,2024.0,Arts,Junior,21.0,Male,5.0,5.0,Printmaking,Art theory,5.0,Presses are well maintained,4.0,Online print shop,5.0,Print club,4.0,Art fair sales,Admin is good,Library has rare prints,4.0,5.0,Yes,Printmaking department is a hidden gem.,
STU087,2020.0,Law,Senior,25.0,Female,3.0,4.0,Family law clinic,Taxation,3.0,Clinic is small,4.0,Legal research tools,3.0,Law school is tiring,4.0,Job hunt is tough,Graduation paperwork,Library is good,2.0,4.0,Maybe,Glad it is over.,
